"Type","County","State","lat","lon"
"Pizza Hut","Morgantown","PA",40.1537,-75.8969
"Pizza Hut","Palmyra","PA",40.32,-76.5621
"Pizza Hut","Derby","KS",37.5458,-97.2441
"Pizza Hut","Haverhill","MA",42.8124,-71.1025
"Pizza Hut","Davis","OK",34.5023,-97.1261
"Pizza Hut","Garrett","IN",41.3384,-85.1352
"Pizza Hut","Kearney","MO",39.3677,-94.3618
"Pizza Hut","Bradford","PA",41.9572,-78.6572
"Pizza Hut","Alamogordo","NM",32.9,-105.95
"Pizza Hut","Enterprise","AL",31.3232,-85.829
"Pizza Hut","Glendale","CA",34.1595,-118.239
"Pizza Hut","Rose Hill","KS",37.5696,-97.1353
"Pizza Hut","Greenfield","IN",39.8023,-85.7697
"Pizza Hut","Cuero","TX",29.0965,-97.2889
"Pizza Hut","Ogdensburg","NY",44.6934,-75.479
"Pizza Hut","Warner Robins","GA",32.5939,-83.6403
"Pizza Hut","Cookeville","TN",36.1389,-85.5018
"Pizza Hut","Summerville","SC",32.9608,-80.1858
"Pizza Hut","Centerville","IA",40.7415,-92.8676
"Pizza Hut","New Boston","TX",33.4737,-94.4136
"Pizza Hut","Green Bay","WI",44.5249,-88.0788
"Pizza Hut","Ellicott City","MD",39.2796,-76.8614
"Pizza Hut","San Antonio","TX",29.4849,-98.4533
"Pizza Hut","Monroe","NC",34.9929,-80.5378
"Pizza Hut","Littleton","CO",39.6097,-105.112
"Pizza Hut","Westminster","CO",39.8767,-105.095
"Pizza Hut","Los Angeles","CA",34.0107,-118.291
"Pizza Hut","Cherokee","IA",42.761,-95.5515
"Pizza Hut","Granbury","TX",32.4336,-97.7945
"Pizza Hut","Port Saint Lucie","FL",27.2712,-80.3194
"Pizza Hut","Midlothian","VA",37.4433,-77.5822
"Pizza Hut","Kansas City","MO",38.9448,-94.5963
"Pizza Hut","Havelock","NC",34.8606,-76.8973
"Pizza Hut","Laurel","MS",31.701,-89.1474
"Pizza Hut","Roanoke","VA",37.317,-79.9535
"Pizza Hut","Lawrenceburg","TN",35.2509,-87.3265
"Pizza Hut","Kenai","AK",60.561,-151.222
"Pizza Hut","Barnwell","SC",33.2431,-81.3778
"Pizza Hut","Clayton","NC",35.6118,-78.4173
"Pizza Hut","Washington","IA",41.2964,-91.706
"Pizza Hut","York","PA",39.9605,-76.7049
"Pizza Hut","Norfolk","NE",42.0211,-97.4266
"Pizza Hut","Pittsburg","KS",37.3964,-94.705
"Pizza Hut","Box Elder","SD",44.1168,-103.071
"Pizza Hut","Bennettsville","SC",34.6082,-79.6797
"Pizza Hut","Milpitas","CA",37.4342,-121.884
"Pizza Hut","Moorhead","MN",46.8737,-96.7693
"Pizza Hut","College Station","TX",30.6159,-96.3484
"Pizza Hut","Kansas City","MO",39.102,-94.5884
"Pizza Hut","Sugar Land","TX",29.6337,-95.6186
"Pizza Hut","Albuquerque","NM",35.0895,-106.515
"Pizza Hut","Madison","MS",32.4606,-90.1116
"Pizza Hut","Lyons","KS",38.3477,-98.214
"Pizza Hut","Jacksonville","FL",30.3334,-81.7308
"Pizza Hut","Dallas","TX",32.8641,-96.7107
"Pizza Hut","Port Washington","WI",43.4006,-87.8716
"Pizza Hut","Kissimmee","FL",28.3451,-81.3608
"Pizza Hut","Falls City","NE",40.0552,-95.6017
"Pizza Hut","Greenwood","IN",39.6014,-86.1057
"Pizza Hut","Manitowoc","WI",44.0887,-87.6607
"Pizza Hut","Dayton","OH",39.7593,-84.2531
"Pizza Hut","Bridgeport","WV",39.2817,-80.2695
"Pizza Hut","Princeton","KY",37.1155,-87.8939
"Pizza Hut","Grand Island","NE",40.9207,-98.3495
"Pizza Hut","Northridge","CA",34.2563,-118.536
"Pizza Hut","Rolla","MO",37.9454,-91.7813
"Pizza Hut","Clinton","OK",35.5052,-98.9721
"Pizza Hut","Owings Mills","MD",39.4159,-76.775
"Pizza Hut","Newark","DE",39.6755,-75.6811
"Pizza Hut","Savannah","TN",35.2246,-88.244
"Pizza Hut","Taylor","MI",42.2316,-83.2691
"Pizza Hut","Las Vegas","NV",36.159,-115.318
"Pizza Hut","Destin","FL",30.3869,-86.4701
"Pizza Hut","Morganfield","KY",37.6739,-87.9252
"Pizza Hut","Lemoore","CA",36.3121,-119.781
"Pizza Hut","Boonville","MO",38.953,-92.7423
"Pizza Hut","Elkhart","IN",41.6406,-85.9307
"Pizza Hut","Lake Providence","LA",32.8504,-91.2232
"Pizza Hut","Mansfield","LA",32.0322,-93.7112
"Pizza Hut","Holdenville","OK",35.0869,-96.3786
"Pizza Hut","Bloomfield","IA",40.7398,-92.4127
"Pizza Hut","Salisbury","NC",35.6583,-80.4602
"Pizza Hut","Clarksville","TN",36.5115,-87.3665
"Pizza Hut","Arlington","TX",32.7064,-97.1189
"Pizza Hut","Mabelvale","AR",34.6235,-92.3954
"Pizza Hut","Fort Wayne","IN",41.1763,-85.1311
"Pizza Hut","South Jordan","UT",40.5633,-111.939
"Pizza Hut","Fremont","OH",41.3579,-83.1369
"Pizza Hut","Little Rock","AR",34.6785,-92.3783
"Pizza Hut","Wichita","KS",37.671,-97.2805
"Pizza Hut","Altavista","VA",37.116,-79.2804
"Pizza Hut","Scottsdale","AZ",33.5792,-111.926
"Pizza Hut","Grinnell","IA",41.745,-92.724
"Pizza Hut","Taos","NM",36.4061,-105.571
"Pizza Hut","Westminster","CO",39.8844,-105.025
"Pizza Hut","Wichita","KS",37.7013,-97.3358
"Pizza Hut","Junction City","KS",39.0282,-96.8482
"Pizza Hut","Pacoima","CA",34.2583,-118.432
"Pizza Hut","Niceville","FL",30.5166,-86.469
"Pizza Hut","Vestavia Hills","AL",33.4399,-86.7895
"Pizza Hut","Fredonia","NY",42.4418,-79.3052
"Pizza Hut","Fairfax","VA",38.8483,-77.3021
"Pizza Hut","Miami","FL",25.8114,-80.3626
"Pizza Hut","Marion","VA",36.8422,-81.505
"Pizza Hut","Elkin","NC",36.2684,-80.8535
"Pizza Hut","Flora","IL",38.6801,-88.4889
"Pizza Hut","Grovetown","GA",33.4541,-82.2076
"Pizza Hut","Fayetteville","NY",43.0292,-76.0144
"Pizza Hut","Penn Yan","NY",42.6569,-77.055
"Pizza Hut","Kingston","TN",35.8774,-84.5116
"Pizza Hut","Guymon","OK",36.6784,-101.473
"Pizza Hut","Ozark","AL",31.4476,-85.6575
"Pizza Hut","Bellingham","WA",48.7354,-122.469
"Pizza Hut","Grand Blanc","MI",42.944,-83.6891
"Pizza Hut","Evendale","OH",39.2506,-84.424
"Pizza Hut","Port Saint Lucie","FL",27.2706,-80.2883
"Pizza Hut","Knoxville","TN",35.8988,-84.1286
"Pizza Hut","Vacaville","CA",38.3432,-121.995
"Pizza Hut","Americus","GA",32.0731,-84.2263
"Pizza Hut","Portland","TX",27.8788,-97.3225
"Pizza Hut","San Diego","CA",32.791,-117.099
"Pizza Hut","Destin","FL",30.3746,-86.3622
"Pizza Hut","Tacoma","WA",47.1625,-122.434
"Pizza Hut","St. Louis","MO",38.6916,-90.3896
"Pizza Hut","Biloxi","MS",30.4382,-88.8949
"Pizza Hut","Fergus Falls","MN",46.2835,-96.0928
"Pizza Hut","San Diego","CA",32.8301,-117.105
"Pizza Hut","West Springfield","MA",42.1321,-72.6263
"Pizza Hut","Geneseo","IL",41.4411,-90.1537
"Pizza Hut","Barbourville","KY",36.8561,-83.9095
"Pizza Hut","Alexandria","VA",38.8429,-77.0754
"Pizza Hut","Clinton","IA",41.8498,-90.1864
"Pizza Hut","Lakewood","CO",39.7185,-105.082
"Pizza Hut","Ridgefield","CT",41.2906,-73.497
"Pizza Hut","New Stanton","PA",40.22,-79.6095
"Pizza Hut","Little Falls","MN",45.9755,-94.3376
"Pizza Hut","Cherokee","OK",36.7424,-98.3591
"Pizza Hut","Washington","PA",40.1801,-80.2365
"Pizza Hut","Lafayette","LA",30.2202,-92.0234
"Pizza Hut","Warren","AR",33.6097,-92.0644
"Pizza Hut","Charleston","IL",39.4843,-88.1832
"Pizza Hut","Ashburn","GA",31.7107,-83.6395
"Pizza Hut","Honolulu","HI",21.3476,-157.898
"Pizza Hut","Oliver Springs","TN",36.0281,-84.3202
"Pizza Hut","San Bernardino","CA",34.1687,-117.315
"Pizza Hut","Sandy","UT",40.5605,-111.853
"Pizza Hut","Pearland","TX",29.5563,-95.379
"Pizza Hut","Las Vegas","NV",35.9987,-115.207
"Pizza Hut","Henderson","NV",36.0003,-115.106
"Pizza Hut","Corpus Christi","TX",27.6674,-97.2823
"Pizza Hut","Brookhaven","MS",31.577,-90.4801
"Pizza Hut","Parker","CO",39.5259,-104.766
"Pizza Hut","Lawrenceburg","IN",39.077,-84.8902
"Pizza Hut","Houston","TX",29.7369,-95.5607
"Pizza Hut","San Dimas","CA",34.1065,-117.828
"Pizza Hut","Santa Rosa","NM",34.9443,-104.679
"Pizza Hut","Lanham","MD",38.9895,-76.8219
"Pizza Hut","Copperas Cove","TX",31.1156,-97.9043
"Pizza Hut","Kenedy","TX",28.8196,-97.856
"Pizza Hut","Shenandoah","IA",40.7657,-95.385
"Pizza Hut","Statesville","NC",35.7909,-80.8565
"Pizza Hut","Gambrills","MD",39.0369,-76.6766
"Pizza Hut","Austin","TX",30.3945,-97.8454
"Pizza Hut","Oro Valley","AZ",32.4083,-110.943
"Pizza Hut","Wichita","KS",37.6792,-97.4626
"Pizza Hut","Herndon","VA",38.9659,-77.3969
"Pizza Hut","Yuma","AZ",32.6806,-114.444
"Pizza Hut","Cleveland","OH",41.4651,-81.7592
"Pizza Hut","Riverview","FL",27.8572,-82.3274
"Pizza Hut","Cuyahoga Falls","OH",41.1635,-81.4765
"Pizza Hut","Ainsworth","NE",42.5499,-99.8488
"Pizza Hut","Wexford","PA",40.6204,-80.0549
"Pizza Hut","Boise","ID",43.6194,-116.315
"Pizza Hut","Avondale","AZ",33.4934,-112.291
"Pizza Hut","Miami","FL",25.7323,-80.3674
"Pizza Hut","Temple Terrace","FL",28.0455,-82.3932
"Pizza Hut","Mandan","ND",46.8289,-100.873
"Pizza Hut","Richlands","VA",37.0924,-81.7827
"Pizza Hut","Camden","AR",33.5841,-92.8499
"Pizza Hut","Bastrop","TX",30.1049,-97.3069
"Pizza Hut","Allegan","MI",42.5277,-85.8491
"Pizza Hut","Dickson","TN",36.0743,-87.3775
"Pizza Hut","Goose Creek","SC",33.0084,-80.0372
"Pizza Hut","Hamilton","NY",42.8343,-75.5503
"Pizza Hut","Salida","CO",38.5241,-105.994
"Pizza Hut","Batesville","AR",35.7692,-91.6408
"Pizza Hut","Bishopville","SC",34.1669,-80.2984
"Pizza Hut","Hampton","VA",37.0427,-76.3834
"Pizza Hut","Craig","CO",40.5141,-107.58
"Pizza Hut","Culver City","CA",34.004,-118.394
"Pizza Hut","Corpus Christi","TX",27.841,-97.5775
"Pizza Hut","Star","ID",43.6916,-116.487
"Pizza Hut","Mission Hills","CA",34.2651,-118.467
"Pizza Hut","Clemson","SC",34.6924,-82.8453
"Pizza Hut","Rancho Cordova","CA",38.6124,-121.29
"Pizza Hut","Keller","TX",32.9312,-97.2894
"Pizza Hut","Belleview","FL",29.0652,-82.0685
"Pizza Hut","Bellefonte","PA",40.9148,-77.7521
"Pizza Hut","Watertown","CT",41.5914,-73.107
