"Type","County","State","lat","lon"
"Taco Bell","Mooresville","NC",35.5934,-80.8555
"Taco Bell","San Marcos","TX",29.8853,-97.9419
"Taco Bell","Irving","TX",32.8374,-96.9389
"Taco Bell","Phoenix","AZ",33.4474,-112.075
"Taco Bell","Moncks Corner","SC",33.1467,-80.0517
"Taco Bell","Albany","NY",42.6846,-73.795
"Taco Bell","Bradley","IL",41.1559,-87.851
"Taco Bell","De Pere","WI",44.4399,-88.0593
"Taco Bell","Elgin","IL",42.0461,-88.2471
"Taco Bell","Overland Park","KS",38.993,-94.7028
"Taco Bell","Nicholasville","KY",37.8972,-84.5658
"Taco Bell","Royal Palm Beach","FL",26.6803,-80.2044
"Taco Bell","Edmonds","WA",47.7906,-122.367
"Taco Bell","Surfside Beach","SC",33.6235,-78.97
"Taco Bell","Thomaston","GA",32.9171,-84.3331
"Taco Bell","Scottsdale","AZ",33.5749,-111.886
"Taco Bell","Clinton","AR",35.6008,-92.462
"Taco Bell","Grand Rapids","MI",42.9703,-85.6439
"Taco Bell","Mount Vernon","OH",40.3998,-82.4568
"Taco Bell","Lisle","IL",41.7867,-88.0715
"Taco Bell","Stillwater","OK",36.1326,-97.061
"Taco Bell","Stevens Point","WI",44.5242,-89.5695
"Taco Bell","Coos Bay","OR",43.3571,-124.213
"Taco Bell","Kearney","NE",40.7025,-99.0953
"Taco Bell","Austin","TX",30.336,-97.6935
"Taco Bell","West Lafayette","IN",40.4532,-86.9202
"Taco Bell","Greenville","AL",31.8359,-86.6309
"Taco Bell","Eden","ID",42.5639,-114.491
"Taco Bell","Visalia","CA",36.3216,-119.314
"Taco Bell","Belleview","FL",29.0738,-82.073
"Taco Bell","Madison","IN",38.7763,-85.3869
"Taco Bell","O'Fallon","MO",38.7624,-90.6998
"Taco Bell","North Platte","NE",41.1112,-100.763
"Taco Bell","Jacksonville","NC",34.7523,-77.4374
"Taco Bell","Butler","PA",40.8834,-79.963
"Taco Bell","Bentonville","AR",36.3723,-94.2214
"Taco Bell","Palmdale","CA",34.5791,-118.13
"Taco Bell","Newark","DE",39.6948,-75.7189
"Taco Bell","St. Peters","MO",38.7935,-90.5719
"Taco Bell","Martinsburg","WV",39.4532,-77.9883
